date,real_high,real_low,pred_high,pred_low
2020-03-23,18.4,17.46,19.837072372436523,19.130081176757812
2020-03-24,19.11,17.83,19.12289810180664,18.560592651367188
2020-03-25,20.85,19.7,19.675861358642578,19.01361846923828
2020-03-26,20.45,19.88,20.14371681213379,19.36296272277832
2020-03-27,20.87,20.3,20.25389862060547,19.453819274902344
2020-03-30,21.21,20.2,20.41616439819336,19.590463638305664
2020-03-31,21.34,20.44,20.762813568115234,19.87082290649414
2020-04-01,21.01,19.61,20.610803604125977,19.749509811401367
2020-04-02,19.67,19.17,20.219881057739258,19.42266845703125
2020-04-03,19.56,19.13,19.89583396911621,19.15969467163086
2020-04-07,19.9,19.24,19.68549919128418,18.995670318603516
2020-04-08,19.34,19.13,19.681791305541992,18.99611473083496
2020-04-09,19.53,19.19,19.536794662475586,18.881282806396484
2020-04-10,19.56,18.8,19.545555114746094,18.889968872070312
2020-04-13,18.88,18.45,19.263145446777344,18.665258407592773
2020-04-14,18.96,18.57,19.0673828125,18.509910583496094
2020-04-15,18.99,18.52,19.0828914642334,18.522705078125
2020-04-16,18.97,18.41,18.882976531982422,18.3603458404541
2020-04-17,19.26,18.9,18.977331161499023,18.43745994567871
2020-04-20,19.03,18.68,18.97553825378418,18.435970306396484
2020-04-21,18.89,18.49,18.89429473876953,18.369844436645508
2020-04-22,18.56,18.38,18.795654296875,18.28922462463379
2020-04-23,18.65,18.37,18.724346160888672,18.230798721313477
2020-04-24,18.53,18.21,18.602914810180664,18.131013870239258
2020-04-27,18.34,17.98,18.507341384887695,18.05239486694336
2020-04-28,18.05,17.6,18.290184020996094,17.873577117919922
2020-04-29,18.1,17.7,18.088470458984375,17.70722770690918
2020-04-30,18.95,18.4,18.097379684448242,17.714576721191406
2020-05-06,19.77,18.7,18.71904754638672,18.22679328918457
2020-05-07,19.7,19.39,19.214515686035156,18.625415802001953
2020-05-08,20.4,19.66,19.451812744140625,18.816322326660156
2020-05-11,20.87,19.9,19.96503448486328,19.224504470825195
2020-05-12,20.22,19.66,19.998014450073242,19.25948143005371
2020-05-13,19.79,19.42,19.894804000854492,19.176958084106445
2020-05-14,19.48,18.89,19.62858772277832,18.957712173461914
2020-05-15,19.16,18.52,19.305200576782227,18.69620132446289
2020-05-18,18.77,18.31,19.07271957397461,18.51289939880371
2020-05-19,18.82,18.5,18.907222747802734,18.379894256591797
2020-05-20,18.87,18.43,18.94595718383789,18.41135597229004
2020-05-21,18.75,18.45,18.84619140625,18.33004379272461
2020-05-22,18.51,18.1,18.79424476623535,18.28769874572754
2020-05-25,18.85,18.26,18.656204223632812,18.174640655517578
2020-05-26,18.91,18.6,18.85308265686035,18.335987091064453
2020-05-27,18.76,18.2,18.886253356933594,18.363069534301758
2020-05-28,18.39,18.01,18.633371353149414,18.155994415283203
2020-05-29,18.17,17.87,18.558940887451172,18.09486961364746
2020-06-01,18.43,17.91,18.23732566833496,17.830080032348633
2020-06-02,18.36,18.12,18.415502548217773,17.97698211669922
2020-06-03,18.94,18.31,18.35238265991211,17.924909591674805
2020-06-04,19.2,18.16,18.84770965576172,18.33175277709961
2020-06-05,18.25,18.1,18.589698791503906,18.120174407958984
2020-06-08,18.39,18.17,18.57390594482422,18.107372283935547
2020-06-09,18.43,18.21,18.506879806518555,18.05215072631836
2020-06-10,18.3,18.05,18.4639892578125,18.01679229736328
2020-06-11,18.32,18.0,18.324195861816406,17.901630401611328
2020-06-12,17.99,17.74,18.287416458129883,17.871339797973633
2020-06-15,17.9,17.71,18.16033172607422,17.766559600830078
2020-06-16,17.9,17.71,17.9732723236084,17.61212730407715
2020-06-17,17.92,17.68,17.96931266784668,17.608867645263672
2020-06-18,17.9,17.75,17.970354080200195,17.609725952148438
2020-06-19,18.25,17.91,17.94864845275879,17.591798782348633
2020-06-22,18.22,18.02,18.204511642456055,17.803016662597656
2020-06-23,18.1,17.9,18.194801330566406,17.795024871826172
2020-06-24,18.27,17.98,18.13296127319336,17.743982315063477
2020-06-29,18.15,17.93,18.224218368530273,17.81932258605957
2020-06-30,17.18,16.93,18.111379623413086,17.726179122924805
